city,year,own_area_km2,ghsl_urban_centre_area_km2,area_ratio,perimeter_area_ratio,reliable
Seattle,2020,303.2546226967467,911.52979025,0.33268756099959695,5.300196059732763,true
Vancouver,2000,136.59831365497467,434.09137725,0.31467640412563547,4.868440584711566,true
Vancouver,2005,136.59831365497467,434.09137725,0.31467640412563547,4.868440584711566,true
Vancouver,2010,136.59831365497467,444.537296,0.3072820095953764,4.868440584711566,true
Vancouver,2015,136.59831365497467,460.214612,0.29681437766903124,4.868440584711566,true
Vancouver,2020,136.59831365497467,491.57867425,0.2778768095735281,4.868440584711566,true
Boston,2000,203.0737268066463,431.43740175,0.4706910573421242,8.388570647532966,true
Boston,2005,203.0737268066463,437.33883925,0.46433956598709825,8.388570647532966,true
Boston,2010,203.0737268066463,443.25691325,0.45814001031070506,8.388570647532966,true
Boston,2015,203.0737268066463,443.25691325,0.45814001031070506,8.388570647532966,true
Boston,2020,203.0737268066463,443.25691325,0.45814001031070506,8.388570647532966,true
Houston,2000,1587.6044484297374,799.66447375,1.9853382268999886,27.216753455033782,true
Houston,2005,1587.6044484297374,1052.114123,1.5089660082718397,27.216753455033782,true
Houston,2010,1587.6044484297374,1110.93021625,1.4290766649491045,27.216753455033782,true
Houston,2015,1587.6044484297374,1245.77533725,1.2743906553282005,27.216753455033782,true
Houston,2020,1587.6044484297374,1290.79360975,1.2299444593138507,27.216753455033782,true
Dallas,2000,998.6533761547144,800.8453945,1.2469989626127698,15.429288434590257,true
Dallas,2005,998.6533761547144,804.19641025,1.2418028275508761,15.429288434590257,true
Dallas,2010,998.6533761547144,814.25475525,1.2264630568207102,15.429288434590257,true
Dallas,2015,998.6533761547144,1051.82550875,0.949447762815264,15.429288434590257,true
Dallas,2020,998.6533761547144,1078.649537,0.9258367448357921,15.429288434590257,true
Atlanta,2000,352.24996370155486,126.00625725,2.7954958062335025,9.382931088156264,true
Atlanta,2005,352.24996370155486,139.27075525,2.5292457348223856,9.382931088156264,true
Atlanta,2010,352.24996370155486,149.226805,2.3605006064530754,9.382931088156264,true
Atlanta,2015,352.24996370155486,169.12662225,2.0827588171238065,9.382931088156264,true
Atlanta,2020,352.24996370155486,228.8103855,1.5394841581679641,9.382931088156264,true
Philadelphia,2000,369.190173835591,514.44961425,0.7176410742844502,6.23484962798452,true
Philadelphia,2005,369.190173835591,542.027236,0.6811284550202769,6.23484962798452,true
Philadelphia,2010,369.190173835591,563.464092,0.6552150865996816,6.23484962798452,true
Philadelphia,2015,369.190173835591,563.464092,0.6552150865996816,6.23484962798452,true
Philadelphia,2020,369.190173835591,563.42684375,0.6552584029869291,6.23484962798452,true
Phoenix,2000,1292.866244915783,854.472532,1.5130577010938755,15.774568215440189,true
Phoenix,2005,1292.866244915783,944.17360075,1.36930988526771,15.774568215440189,true
Phoenix,2010,1292.866244915783,1053.91101875,1.226731879555826,15.774568215440189,true
Phoenix,2015,1292.866244915783,1140.3591745,1.1337359963650495,15.774568215440189,true
Phoenix,2020,1292.866244915783,1156.99268275,1.1174368379260893,15.774568215440189,true
Montreal,2000,440.0451144839366,692.3333905,0.6355971278030343,9.675038051446785,true
Montreal,2005,440.0451144839366,801.56107175,0.5489851366199865,9.675038051446785,true
Montreal,2010,440.0451144839366,823.99353025,0.5340395261967975,9.675038051446785,true
Montreal,2015,440.0451144839366,882.7492025,0.4984939247044367,9.675038051446785,true
Montreal,2020,440.0451144839366,924.88783975,0.4757821387324998,9.675038051446785,true
Birmingham,2000,267.9646973959616,619.51826925,0.4325371997832517,6.508021166596511,true
Birmingham,2005,267.9646973959616,619.51826925,0.4325371997832517,6.508021166596511,true
Birmingham,2010,267.9646973959616,631.7393845,0.4241696876442909,6.508021166596511,true
Birmingham,2015,267.9646973959616,646.37572525,0.4145649146900131,6.508021166596511,true
Birmingham,2020,267.9646973959616,643.93386725,0.4161369839737398,6.508021166596511,true
Manchester,2000,115.72877724823257,629.53893725,0.1838310077431713,8.094090718252032,true
Manchester,2005,115.72877724823257,698.663867,0.16564299760507376,8.094090718252032,true
Manchester,2010,115.72877724823257,698.663867,0.16564299760507376,8.094090718252032,true
Manchester,2015,115.72877724823257,698.663867,0.16564299760507376,8.094090718252032,true
Manchester,2020,115.72877724823257,708.1707835,0.16341930498214713,8.094090718252032,true
Milan,2000,181.89059975832944,554.84685425,0.3278212688151497,7.970539769969157,true
Milan,2005,181.89059975832944,554.84685425,0.3278212688151497,7.970539769969157,true
Milan,2010,181.89059975832944,554.84685425,0.3278212688151497,7.970539769969157,true
Milan,2015,181.89059975832944,725.6553685,0.25065700283361086,7.970539769969157,true
Milan,2020,181.89059975832944,728.4602015,0.24969188348765192,7.970539769969157,true
Naples,2000,118.61283696958488,383.682197,0.30914344709505737,9.667491901112369,true
Naples,2005,118.61283696958488,383.682197,0.30914344709505737,9.667491901112369,true
Naples,2010,118.61283696958488,395.75115,0.29971571016176424,9.667491901112369,true
Naples,2015,118.61283696958488,401.784008,0.2952154257209383,9.667491901112369,true
Naples,2020,118.61283696958488,401.784008,0.2952154257209383,9.667491901112369,true
Zurich,2000,91.86663839881278,159.9032655,0.5745138356715597,6.13110730276094,true
Zurich,2005,91.86663839881278,165.3171895,0.5556992510982216,6.13110730276094,true
Zurich,2010,91.86663839881278,170.7356765,0.5380635159682796,6.13110730276094,true
Zurich,2015,91.86663839881278,178.86842025,0.5135989811416293,6.13110730276094,true
Zurich,2020,91.86663839881278,181.57629525,0.5059396011595451,6.13110730276094,true
Geneva,2000,18.28477320057635,74.781001,0.24451094470608048,5.323500983936627,true
Geneva,2005,18.28477320057635,80.32228725,0.22764258621851372,5.323500983936627,true
Geneva,2010,18.28477320057635,80.32228725,0.22764258621851372,5.323500983936627,true
Geneva,2015,18.28477320057635,83.093377,0.22005090972023378,5.323500983936627,true
Geneva,2020,18.28477320057635,83.093377,0.22005090972023378,5.323500983936627,true
La Paz,2000,1990.2507582817443,198.30005025,10.036562047123054,6.898093353828083,true
La Paz,2005,1990.2507582817443,213.54854475,9.319898483090666,6.898093353828083,true
La Paz,2010,1990.2507582817443,213.54854475,9.319898483090666,6.898093353828083,true
La Paz,2015,1990.2507582817443,244.045182,8.155255276794378,6.898093353828083,true
La Paz,2020,1990.2507582817443,244.045182,8.155255276794378,6.898093353828083,true
Asuncion,2000,124.83731680379522,338.43210475,0.36886960501579075,5.384790595875469,true
Asuncion,2005,124.83731680379522,388.8134515,0.32107252545452436,5.384790595875469,true
Asuncion,2010,124.83731680379522,424.800114,0.2938730774535414,5.384790595875469,true
Asuncion,2015,124.83731680379522,424.800114,0.2938730774535414,5.384790595875469,true
Asuncion,2020,124.83731680379522,378.0216205,0.3302385631770901,5.384790595875469,true
Montevideo,2000,529.3193908096928,196.4554255,2.6943485498683404,7.813621417410491,true
Montevideo,2005,529.3193908096928,196.4554255,2.6943485498683404,7.813621417410491,true
Montevideo,2010,529.3193908096928,196.4554255,2.6943485498683404,7.813621417410491,true
Montevideo,2015,529.3193908096928,199.7298235,2.650177031822655,7.813621417410491,true
Montevideo,2020,529.3193908096928,196.4554255,2.6943485498683404,7.813621417410491,true
